ARC,ARC_2DIGIT,n_recs,energy_frac_q75,energy_frac_q90,value_frac_q75,value_frac_q90,energy_p25,energy_median,energy_p75,current_value_median,benchmark_dollar_median,payback_median,impl_rate_hist
2.3321,2.3,43,0.04401899444344855,0.3486386815627744,0.15767037712599502,0.7895130981766363,1766.9912060000001,6585.999352,13300.6584,145613.26780416,86957.0,3.0668374651496,0.11627906976744186
2.3322,2.3,29,0.14219247763754475,0.3782495213472177,0.25972567606528707,0.6431016756637382,435.869352,747.2280000000001,2702.304,27521.901696,20946.0,2.9312519122896497,0.20689655172413793
2.3411,2.3,22,0.08210433593164666,0.2198646728713899,0.09780299613563129,0.29216794399183266,1374.970319,2305.119904,3707.149089,48664.11709208001,33393.5,1.8081616676158,0.13636363636363635
2.3412,2.3,83,0.17860515467388788,0.42848748782458557,0.3671608472393322,1.0509174266880144,2743.387892,9767.999844,50922.3912,224646.08000000002,135070.0,2.6825955333003,0.0963855421686747
2.3413,2.3,65,0.20394078185489378,0.4944462634743554,0.499037649838281,0.9037294651740606,3376.24224,7472.280000000001,17410.658064,174573.20576,107574.0,3.7284416179306,0.07692307692307693
2.3414,2.3,49,0.9257387962680872,2.1476793843803565,1.5319435563053823,2.2443129901463337,4480.0003560000005,15012.8,33902.9044,310628.48000000004,224192.0,3.0461538461538,0.12244897959183673
2.3415,2.3,269,0.3741345102058644,0.7039280782429894,1.0012853526636556,1.6260078025379532,4299.00058,12045.250532,26636.999496,330127.0549954,173755.0,4.1295173274642,0.12267657992565056
2.3416,2.3,52,0.38614076183686213,0.9472216873143267,0.9861033266804374,1.6015501353840942,6343.0786,28364.116364,51748.156856999994,624596.3999985601,367207.5,3.2375666204667,0.07692307692307693
2.3417,2.3,85,0.48222103709473646,0.9457417891469715,1.1901638892828508,1.8291208240716084,5961.4464,17913.0,39851.999636,436519.69380336005,265571.32,4.02754649080815,0.11764705882352941
2.3512,2.3,34,0.01761632273029952,0.03407951893048682,0.03055347445678262,0.06385296210490982,25.477404,70.50045,227.695555,1792.572338212,1312.5,0.9041394335512,0.35294117647058826
2.4111,2.4,5347,0.005594295639885944,0.012074276438972952,0.011479119417730976,0.023567852705924756,22.000576,63.998884,183.998924,1572.9524720000002,1279.0,0.909347422448195,0.5230970637740789
